difficulty	preference	context	aspect	direct	opinion	argument	reason	method	factoid	super	comp	question	item_list	aspect_list	predicate_list	context_list	non-serious	navigational	spelling	rude	not question	dataset	capri_tag	pos	tokens
											1	Who will be a better president Donald Trump or Hillary Clinton?	donald trump; hillary clinton	president	a better							q	['0', '0', '0', 'CP', 'CP', 'CA', 'CI', '0', '0', 'CI', '0', '0']	['WP', 'MD', 'VB', 'DT', 'JJR', 'NN', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', '.']	['Who', 'will', 'be', 'a', 'better', 'president', 'Donald', 'Trump', 'or', 'Hillary', 'Clinton', '?']
											1	Who would be a better president: Hillary Clinton or Donald Trump?	hillary clinton; donald trump	president	a better							q	['0', '0', '0', 'CP', 'CP', 'CA', '0', 'CI', '0', '0', 'CI', '0', '0']	['WP', 'MD', 'VB', 'DT', 'JJR', 'NN', ':', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', '.']	['Who', 'would', 'be', 'a', 'better', 'president', ':', 'Hillary', 'Clinton', 'or', 'Donald', 'Trump', '?']
											1	Why is Hillary Clinton a better choice than Donald Trump?	hillary clinton; donald trump		a better choice							q	['0', '0', 'CI', '0', 'CP', 'CP', 'CP', '0', 'CI', '0', '0']	['WRB', 'VBZ', 'NNP', 'NNP', 'DT', 'JJR', 'NN', 'IN', 'NNP', 'NNP', '.']	['Why', 'is', 'Hillary', 'Clinton', 'a', 'better', 'choice', 'than', 'Donald', 'Trump', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Is there a difference between a good facilitator and a project manager?	a good facilitator; a project manager	0	a difference		0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', '0', 'CI', 'CI', 'CI', '0', 'CI', 'CI', 'CI', '0']	['VBZ', 'EX', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'CC', 'DT', 'NN', 'NN', '.']	['Is', 'there', 'a', 'difference', 'between', 'a', 'good', 'facilitator', 'and', 'a', 'project', 'manager', '?']
											1	Is there a difference between anxiety attacks and panic attacks?	anxiety attacks; panic attacks		a difference							q	['0', '0', 'CP', 'CP', '0', 'CI', 'CI', '0', 'CI', 'CI', '0']	['VBZ', 'EX', 'DT', 'NN', 'IN', 'NN', 'NNS', 'CC', 'NN', 'NNS', '.']	['Is', 'there', 'a', 'difference', 'between', 'anxiety', 'attacks', 'and', 'panic', 'attacks', '?']
											1	Is there a difference between classical singing and opera?	classical singing; opera		a difference							q	['0', '0', 'CP', 'CP', '0', 'CI', 'CI', '0', 'CI', '0']	['VBZ', 'EX', 'DT', 'NN', 'IN', 'JJ', 'NN', 'CC', 'NN', '.']	['Is', 'there', 'a', 'difference', 'between', 'classical', 'singing', 'and', 'opera', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Is there a difference in the extent of the discrimination against coloured immigrants in comparison to white immigrants?	the extent of the discrimination against coloured immigrants; white immigrants	0	a difference; in comparison to		0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', '0', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CP', 'CP', 'CP', 'CI', 'CI', '0']	['VBZ', 'EX', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'NN', 'IN', 'JJ', 'NNS', '.']	['Is', 'there', 'a', 'difference', 'in', 'the', 'extent', 'of', 'the', 'discrimination', 'against', 'coloured', 'immigrants', 'in', 'comparison', 'to', 'white', 'immigrants', '?']
											1	I have Rs 30000, what is a good small business that I can start with it?	small business	i can start with it	a good	rs 30000					0.0	q	['0', '0', 'CC', 'CC', '0', '0', '0', 'CP', 'CP', 'CI', 'CI', '0', 'CA', 'CA', 'CA', 'CA', '0', '0']	['PRP', 'VBP', 'NNS', 'CD', ',', 'WP', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'WDT', 'PRP', 'MD', 'VB', 'IN', 'PRP', '.']	['I', 'have', 'Rs', '30000', ',', 'what', 'is', 'a', 'good', 'small', 'business', 'that', 'I', 'can', 'start', 'with', 'it', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	Recommend a good online loyalty software as a service platform?	online loyalty software	0	a good	as a service platform	0.0	0.0	0.0	0.0	0.0	q	['0', 'CP', 'CP', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', '0']	['VB', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NN', 'NN', '.']	['Recommend', 'a', 'good', 'online', 'loyalty', 'software', 'as', 'a', 'service', 'platform', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good base design for town hall level 5 in COC?	base design	0	a good	for town hall level 5 in coc	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'IN', 'NN', 'NN', 'NN', 'CD', 'IN', 'NNP', '.']	['What', 'is', 'a', 'good', 'base', 'design', 'for', 'town', 'hall', 'level', '5', 'in', 'COC', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	What is a good book about data-structures and algorithms in javascript?	book	0	a good	about data-structures and algorithms in javascript	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NNS', 'HYPH', 'NNS', 'CC', 'NNS', 'IN', 'NN', '.']	['What', 'is', 'a', 'good', 'book', 'about', 'data', '-', 'structures', 'and', 'algorithms', 'in', 'javascript', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good book for behavioral economics?	book	0	a good	for behavioral economics	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']	['What', 'is', 'a', 'good', 'book', 'for', 'behavioral', 'economics', '?']
											1	What is a good book to read on evolution and game theory?	book	on evolution and game theory	a good							q	['0', '0', 'CP', 'CP', 'CI', '0', '0', 'CA', 'CA', 'CA', 'CA', 'CA', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'IN', 'NN', 'CC', 'NN', 'NN', '.']	['What', 'is', 'a', 'good', 'book', 'to', 'read', 'on', 'evolution', 'and', 'game', 'theory', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good book to start learning about logic?	book		a good	to start learning about logic	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'VBG', 'IN', 'NN', '.']	['What', 'is', 'a', 'good', 'book', 'to', 'start', 'learning', 'about', 'logic', '?']
											1	What is a good diet plan for type 2 diabetes?	diet plan		a good	for type 2 diabetes					0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'IN', 'NN', 'CD', 'NN', '.']	['What', 'is', 'a', 'good', 'diet', 'plan', 'for', 'type', '2', 'diabetes', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good excuse to miss national guard drill on a two day notice?	excuse	0	a good	to miss national guard drill on a two day notice	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'JJ', 'NN', 'NN', 'IN', 'DT', 'CD', 'NN', 'NN', '.']	['What', 'is', 'a', 'good', 'excuse', 'to', 'miss', 'national', 'guard', 'drill', 'on', 'a', 'two', 'day', 'notice', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	What is a good inpatient drug and alcohol rehab center in Franklin County ID?	drug and alcohol rehab center	0	a good	in Franklin County ID	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', '0', 'CI', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', '0']	['WP', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'CC', 'NN', 'NN', 'NN', 'IN', 'NNP', 'NNP', 'NNP', '.']	['What', 'is', 'a', 'good', 'inpatient', 'drug', 'and', 'alcohol', 'rehab', 'center', 'in', 'Franklin', 'County', 'ID', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good institute for ITIL certification in Pune?	institute	0	a good	for itil certification in pune	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'NN', 'IN', 'NNP', '.']	['What', 'is', 'a', 'good', 'institute', 'for', 'ITIL', 'certification', 'in', 'Pune', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good laptop cooling pad?	laptop cooling pad		a good		0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'VBG', 'NN', '.']	['What', 'is', 'a', 'good', 'laptop', 'cooling', 'pad', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good meal for someone with gastroenteritis but tasty enough for sharing with healthy company?	meal	0	a good	for someone with gastroenteritis but tasty enough for sharing with healthy company	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'IN', 'NN', 'CC', 'JJ', 'RB', 'IN', 'VBG', 'IN', 'JJ', 'NN', '.']	['What', 'is', 'a', 'good', 'meal', 'for', 'someone', 'with', 'gastroenteritis', 'but', 'tasty', 'enough', 'for', 'sharing', 'with', 'healthy', 'company', '?']
											1	What is a good mixer for Southern Comfort?	mixer		a good	for southern comfort					0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CC', 'CC', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'NNP', '.']	['What', 'is', 'a', 'good', 'mixer', 'for', 'Southern', 'Comfort', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good page border creator, I need to make a Mexican flag paged border and I can't find out how?	border creator		a good		0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', '0', 'CI', 'CI', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'NN', ',', 'PRP', 'VBP', 'TO', 'VB', 'DT', 'JJ', 'NN', 'VBN', 'NN', 'CC', 'PRP', 'MD', 'RB', 'VB', 'RP', 'WRB', '.']	"['What', 'is', 'a', 'good', 'page', 'border', 'creator', ',', 'I', 'need', 'to', 'make', 'a', 'Mexican', 'flag', 'paged', 'border', 'and', 'I', 'ca', ""n't"", 'find', 'out', 'how', '?']"
											1	What is a good plan for a 2-day trip to Kodaikanal?	plan for a 2-day trip to kodaikanal		a good						0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'CD', 'NN', 'IN', 'NNP', '.']	['What', 'is', 'a', 'good', 'plan', 'for', 'a', '2-day', 'trip', 'to', 'Kodaikanal', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	What is a good prepaid SIM card deal in France?	prepaid sim card	0	a good	in france	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', '0', 'CC', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'JJ', 'NNP', 'NN', 'NN', 'IN', 'NNP', '.']	['What', 'is', 'a', 'good', 'prepaid', 'SIM', 'card', 'deal', 'in', 'France', '?']
											1	What is a good question to ask Quora?	question to ask quora		a good						0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'NNP', '.']	['What', 'is', 'a', 'good', 'question', 'to', 'ask', 'Quora', '?']
											1	What is a good recipe for salmon?	recipe for salmon		a good						0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', '.']	['What', 'is', 'a', 'good', 'recipe', 'for', 'salmon', '?']
										1.0	1	What is a good research topic on big data?	research topic		a good	on big data						q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CC', 'CC', 'CC', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'IN', 'JJ', 'NNS', '.']	['What', 'is', 'a', 'good', 'research', 'topic', 'on', 'big', 'data', '?']
										1.0	1	What is a good solar panel installation provider in Ignacio, California CA?	solar panel installation provider		a good	in ignacio, california ca						q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'IN', 'NNP', ',', 'NNP', 'NNP', '.']	['What', 'is', 'a', 'good', 'solar', 'panel', 'installation', 'provider', 'in', 'Ignacio', ',', 'California', 'CA', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good solar panel installation provider in Laguna Niguel, California CA?	solar panel installation provider	0	a good	in laguna niguel, california ca	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'IN', 'NNP', 'NNP', ',', 'NNP', 'NNP', '.']	['What', 'is', 'a', 'good', 'solar', 'panel', 'installation', 'provider', 'in', 'Laguna', 'Niguel', ',', 'California', 'CA', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good solar panel installation provider in San Carlos, California CA?	solar panel installation provider	0	a good	in san carlos, california ca	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'IN', 'NNP', 'NNP', ',', 'NNP', 'NNP', '.']	['What', 'is', 'a', 'good', 'solar', 'panel', 'installation', 'provider', 'in', 'San', 'Carlos', ',', 'California', 'CA', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good solar panel installation provider near Trabuco, California CA?	solar panel installation provider	0	a good	near trabuco, california ca	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'IN', 'NNP', ',', 'NNP', 'NNP', '.']	['What', 'is', 'a', 'good', 'solar', 'panel', 'installation', 'provider', 'near', 'Trabuco', ',', 'California', 'CA', '?']
											1	What is a good way to start talking to a girl on Facebook?	way to start talking to a girl		a good	on facebook					0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CC', '0', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'VBG', 'IN', 'DT', 'NN', 'IN', 'NNP', '.']	['What', 'is', 'a', 'good', 'way', 'to', 'start', 'talking', 'to', 'a', 'girl', 'on', 'Facebook', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is a good YouTube username?	youtube username	0	a good		0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', '0']	['WP', 'VBZ', 'DT', 'JJ', 'NNP', 'NN', '.']	['What', 'is', 'a', 'good', 'YouTube', 'username', '?']
										1.0	1	What is a good, safe site to buy cigarettes?	site to buy cigarettes	safe	a good							q	['0', '0', 'CP', 'CP', '0', 'CA', 'CI', 'CI', 'CI', 'CI', '0']	['WP', 'VBZ', 'DT', 'JJ', ',', 'JJ', 'NN', 'TO', 'VB', 'NNS', '.']	['What', 'is', 'a', 'good', ',', 'safe', 'site', 'to', 'buy', 'cigarettes', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	What is the mark of a good mustard?	mark	0	a good	mustard	0.0	0.0	0.0	0.0	0.0	q	['0', '0', '0', 'CI', '0', 'CP', 'CP', 'CC', '0']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']	['What', 'is', 'the', 'mark', 'of', 'a', 'good', 'mustard', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Which is a good IDE for developing front-end javascript?	ide	for developing front-end javascript	a good		0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', '0', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', '0']	['WDT', 'VBZ', 'DT', 'JJ', 'NNP', 'IN', 'VBG', 'JJ', 'HYPH', 'NN', 'NN', '.']	['Which', 'is', 'a', 'good', 'IDE', 'for', 'developing', 'front', '-', 'end', 'javascript', '?']
										1.0	1	Which is a good inpatient drug and alcohol rehab center near Butler County AL?	inpatient drug and alcohol rehab center		a good	near butler county al						q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CC', 'CI', 'CI', 'CC', 'CC', 'CC', '0', '0']	['WDT', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'CC', 'NN', 'NN', 'NN', 'IN', 'NNP', 'NNP', 'NNP', '.']	['Which', 'is', 'a', 'good', 'inpatient', 'drug', 'and', 'alcohol', 'rehab', 'center', 'near', 'Butler', 'County', 'AL', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Which is a good inpatient drug and alcohol rehab center near Lee County GA?	inpatient drug and alcohol rehab center		a good	near lee county ga	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC', '0', '0']	['WDT', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'CC', 'NN', 'NN', 'NN', 'IN', 'NNP', 'NNP', 'NNP', '.']	['Which', 'is', 'a', 'good', 'inpatient', 'drug', 'and', 'alcohol', 'rehab', 'center', 'near', 'Lee', 'County', 'GA', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Which is a good solar panel installation provider in Inverness, California CA?	a good solar panel installation provider		a good	in inverness, california ca	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CI', 'CP', 'CI', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', '0', '0']	['WDT', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'IN', 'NNP', ',', 'NNP', 'NNP', '.']	['Which', 'is', 'a', 'good', 'solar', 'panel', 'installation', 'provider', 'in', 'Inverness', ',', 'California', 'CA', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Which is a good solar panel installation provider in Pacific Beach, California CA?	is a good solar panel installation provider		a good	in pacific beach, california ca	0.0	0.0	0.0	0.0	0.0	q	['0', 'CI', 'CP', 'CI', 'CP', 'CI', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', '0', '0']	['WDT', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'IN', 'NNP', 'NNP', ',', 'NNP', 'NNP', '.']	['Which', 'is', 'a', 'good', 'solar', 'panel', 'installation', 'provider', 'in', 'Pacific', 'Beach', ',', 'California', 'CA', '?']
