comp	question	item_list	aspect_list	predicate_list	context_list	not question	dataset	question_NER	tokenized	pos	capri-tag
1	is cuba health care better	cuba; health care		better		0.0	m	is cuba health care better	['is', 'cuba', 'health', 'care', 'better']	['VBZ', 'VBN', 'NN', 'NN', 'RBR']	[0, 'CI', 'CI', 'CI', 'CP']
1	is it better to have your kids be oldest or youngest in class?	be oldest; youngest		better	your kids; in class	0.0	m	is it better to have your kids be oldest or youngest in class?	['is', 'it', 'better', 'to', 'have', 'your', 'kids', 'be', 'oldest', 'or', 'youngest', 'in', 'class', '?']	['VBZ', 'PRP', 'JJR', 'TO', 'VB', 'PRP$', 'NNS', 'VB', 'JJS', 'CC', 'JJS', 'IN', 'NN', '.']	[0, 0, 'CP', 0, 0, 'CC', 'CC', 'CI', 'CI', 0, 'CI', 'CC', 'CC', 0]
1	what muscles makes your torso look bigger	muscles		bigger	your torso look	0.0	m	what muscles makes your torso look bigger	['what', 'muscles', 'makes', 'your', 'torso', 'look', 'bigger']	['WP', 'NNS', 'VBZ', 'PRP$', 'NN', 'VB', 'JJR']	[0, 'CI', 0, 'CC', 'CC', 'CC', 'CP']
1	which is bigger bacteria or mitochondria	bacteria; mitochondria		bigger		0.0	m	which is bigger bacteria or mitochondria	['which', 'is', 'bigger', 'bacteria', 'or', 'mitochondria']	['WDT', 'VBZ', 'JJR', 'NNS', 'CC', 'NN']	[0, 0, 'CP', 'CI', 0, 'CI']
1	what is bigger bits or giga	bits; giga		bigger		0.0	m	what is bigger bits or giga	['what', 'is', 'bigger', 'bits', 'or', 'giga']	['WP', 'VBZ', 'JJR', 'NNS', 'CC', 'JJ']	[0, 0, 'CP', 'CI', 0, 'CI']
1	biggest t rex ever found not complete	t rex		biggest	ever found not complete	1.0	m	biggest t rex ever found not complete	['biggest', 't', 'rex', 'ever', 'found', 'not', 'complete']	['JJS', 'XX', 'NN', 'RB', 'VBN', 'RB', 'JJ']	['CP', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC']
1	biggest processing of food	processing		biggest	of food	1.0	m	biggest processing of food	['biggest', 'processing', 'of', 'food']	['JJS', 'NN', 'IN', 'NN']	['CP', 'CI', 'CC', 'CC']
1	biggest honda atv dealer	atv dealer		biggest	honda	1.0	m	biggest honda atv dealer	['biggest', 'honda', 'atv', 'dealer']	['JJS', 'NN', 'DT', 'NN']	['CP', 'CC', 'CI', 'CI']
1	biggest wine producing state	wine producing state		biggest		1.0	m	biggest wine producing state	['biggest', 'wine', 'producing', 'state']	['JJS', 'NN', 'VBG', 'NN']	['CP', 'CI', 'CI', 'CI']
1	biggest ransomware attacks	ransomware attacks		biggest		1.0	m	biggest ransomware attacks	['biggest', 'ransomware', 'attacks']	['JJS', 'JJ', 'NNS']	['CP', 'CI', 'CI']
1	cheaper price tv in auckland	tv	price	cheaper	in auckland	1.0	m	cheaper price tv in auckland	['cheaper', 'price', 'tv', 'in', 'auckland']	['JJR', 'NN', 'NN', 'IN', 'NN']	['CP', 'CA', 'CI', 'CC', 'CC']
1	how to make a toilet bowl cleaner	how		cleaner	a toilet bowl	0.0	m	how to make a toilet bowl cleaner	['how', 'to', 'make', 'a', 'toilet', 'bowl', 'cleaner']	['WRB', 'TO', 'VB', 'DT', 'NN', 'NN', 'RBR']	['CI', 0, 0, 'CC', 'CC', 'CC', 'CP']
1	what airport is close to cape cod	airport	to cape cod	close		0.0	m	what airport is close to cape cod	['what', 'airport', 'is', 'close', 'to', 'cape', 'cod']	['WDT', 'NN', 'VBZ', 'JJ', 'TO', 'VB', 'NN']	[0, 'CI', 0, 'CP', 'CA', 'CA', 'CA']
1	which is closest to earth	which	to earth	closest		0.0	m	which is closest to earth	['which', 'is', 'closest', 'to', 'earth']	['WDT', 'VBZ', 'JJS', 'IN', 'NN']	['CI', 0, 'CP', 'CA', 'CA']
1	what part of the pa turnpike is closest to gettysburg pa	part of the pa turnpike	to gettysburg pa	closest		0.0	m	what part of the pa turnpike is closest to gettysburg pa	['what', 'part', 'of', 'the', 'pa', 'turnpike', 'is', 'closest', 'to', 'gettysburg', 'pa']	['WDT', 'NN', 'IN', 'DT', 'NN', 'NN', 'VBZ', 'JJS', 'TO', 'VB', 'VB']	[0, 'CI', 'CI', 'CI', 'CI', 'CI', 0, 'CP', 'CA', 'CA', 'CA']
1	what airport is closest to cary nc	airport		closest	to cary nc	0.0	m	what airport is closest to cary nc	['what', 'airport', 'is', 'closest', 'to', 'cary', 'nc']	['WDT', 'NN', 'VBZ', 'JJS', 'TO', 'VB', 'NN']	[0, 'CI', 0, 'CP', 'CC', 'CC', 'CC']
1	common antifungal yeast infection	antifungal yeast infection		common		1.0	m	common antifungal yeast infection	['common', 'antifungal', 'yeast', 'infection']	['JJ', 'JJ', 'NN', 'NN']	['CP', 'CI', 'CI', 'CI']
1	common heart medication	heart medication		common		1.0	m	common heart medication	['common', 'heart', 'medication']	['JJ', 'NN', 'NN']	['CP', 'CI', 'CI']
1	common causes of data breaches	causes		common	of data breaches	1.0	m	common causes of data breaches	['common', 'causes', 'of', 'data', 'breaches']	['JJ', 'NNS', 'IN', 'NNS', 'NNS']	['CP', 'CI', 'CC', 'CC', 'CC']
1	what do melanesia micronesia and polynesia have in common	melanesia micronesia; polynesia		common		0.0	m	what do melanesia micronesia and polynesia have in common	['what', 'do', 'melanesia', 'micronesia', 'and', 'polynesia', 'have', 'in', 'common']	['WP', 'VBP', 'NN', 'NN', 'CC', 'NN', 'VBP', 'IN', 'JJ']	[0, 0, 'CI', 'CI', 0, 'CI', 0, 0, 'CP']
1	what are some common ways to relieve stress	ways		common	to relieve stress	0.0	m	what are some common ways to relieve stress	['what', 'are', 'some', 'common', 'ways', 'to', 'relieve', 'stress']	['WP', 'VBP', 'DT', 'JJ', 'NNS', 'TO', 'VB', 'NN']	[0, 0, 0, 'CP', 'CI', 'CC', 'CC', 'CC']
1	what are some common causes of conjunctivitis	causes		common	of conjunctivitis	0.0	m	what are some common causes of conjunctivitis	['what', 'are', 'some', 'common', 'causes', 'of', 'conjunctivitis']	['WP', 'VBP', 'DT', 'JJ', 'NNS', 'IN', 'NN']	[0, 0, 0, 'CP', 'CI', 'CC', 'CC']
1	size of a hectare compared to a football field	a hectare; a football field	size	compared		0.0	m	size of a hectare compared to a football field	['size', 'of', 'a', 'hectare', 'compared', 'to', 'a', 'football', 'field']	['NN', 'IN', 'DT', 'NN', 'VBN', 'IN', 'DT', 'NN', 'NN']	['CA', 0, 'CI', 'CI', 'CP', 0, 'CI', 'CI', 'CI']
1	correct way to type address	way		correct	to type address	1.0	m	correct way to type address	['correct', 'way', 'to', 'type', 'address']	['JJ', 'NN', 'TO', 'NN', 'NN']	['CP', 'CI', 'CC', 'CC', 'CC']
1	how does aa differ from womens for sobriety	aa; womens		differ	for sobriety	0.0	m	how does aa differ from womens for sobriety	['how', 'does', 'aa', 'differ', 'from', 'womens', 'for', 'sobriety']	['WRB', 'VBZ', 'TO', 'VB', 'IN', 'NNS', 'IN', 'NN']	[0, 0, 'CI', 'CP', 0, 'CI', 'CC', 'CC']
1	how do alpha and beta forms of glucose differ	alpha; beta forms		differ	of glucose	0.0	m	how do alpha and beta forms of glucose differ	['how', 'do', 'alpha', 'and', 'beta', 'forms', 'of', 'glucose', 'differ']	['WRB', 'VBP', 'NN', 'CC', 'NN', 'NNS', 'IN', 'NN', 'NN']	[0, 0, 'CI', 0, 'CI', 'CI', 'CC', 'CC', 'CP']
1	how does gestalt theory differ from functionalism?	gestalt theory; functionalism		differ		0.0	m	how does gestalt theory differ from functionalism?	['how', 'does', 'gestalt', 'theory', 'differ', 'from', 'functionalism', '?']	['WRB', 'VBZ', 'NN', 'NN', 'VBP', 'IN', 'NN', '.']	[0, 0, 'CI', 'CI', 'CP', 0, 'CI', 0]
1	how did baroque art differ from renaissance ?	baroque art; renaissance		differ		0.0	m	how did baroque art differ from renaissance ?	['how', 'did', 'baroque', 'art', 'differ', 'from', 'renaissance', '?']	['WRB', 'VBD', 'NN', 'NN', 'NN', 'IN', 'NN', '.']	[0, 0, 'CI', 'CI', 'CP', 0, 'CI', 0]
1	how do carbs and protein need differ from strength/power athletes from others	strength/power athletes; others	carbs and protein need	differ		0.0	m	how do carbs and protein need differ from strength/power athletes from others	['how', 'do', 'carbs', 'and', 'protein', 'need', 'differ', 'from', 'strength', '/', 'power', 'athletes', 'from', 'others']	['WRB', 'VBP', 'NNS', 'CC', 'NN', 'VBP', 'NN', 'IN', 'NN', 'SYM', 'NN', 'NNS', 'IN', 'NNS']	[0, 0, 'CA', 'CA', 'CA', 'CA', 'CP', 0, 'CI', 'CI', 'CI', 'CI', 0, 'CI']
1	what is a major difference between eukaryotic dna replication and prokaryotic dna replication?	eukaryotic dna replication; prokaryotic dna replication		a major difference		0.0	m	what is a major difference between eukaryotic dna replication and prokaryotic dna replication?	['what', 'is', 'a', 'major', 'difference', 'between', 'eukaryotic', 'dna', 'replication', 'and', 'prokaryotic', 'dna', 'replication', '?']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'NN', 'CC', 'JJ', 'NN', 'NN', '.']	[0, 0, 'CP', 'CP', 'CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI', 0]
1	what is difference between term life and whole life for seniors	term life; whole life		difference	for seniors	0.0	m	what is difference between term life and whole life for seniors	['what', 'is', 'difference', 'between', 'term', 'life', 'and', 'whole', 'life', 'for', 'seniors']	['WP', 'VBZ', 'NN', 'IN', 'NN', 'NN', 'CC', 'JJ', 'NN', 'IN', 'NNS']	[0, 0, 'CP', 0, 'CI', 'CI', 0, 'CI', 'CI', 'CC', 'CC']
1	difference between general design and detailed design	general design; detailed design		difference		1.0	m	difference between general design and detailed design	['difference', 'between', 'general', 'design', 'and', 'detailed', 'design']	['NN', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NN']	['CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	difference between clinical trial and registry participation	clinical trial; registry participation		difference		1.0	m	difference between clinical trial and registry participation	['difference', 'between', 'clinical', 'trial', 'and', 'registry', 'participation']	['NN', 'IN', 'JJ', 'NN', 'CC', 'NN', 'NN']	['CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	difference between private equity fund and venture capital fund exempt reporting adviser	private equity fund; venture capital fund		difference	exempt reporting adviser	1.0	m	difference between private equity fund and venture capital fund exempt reporting adviser	['difference', 'between', 'private', 'equity', 'fund', 'and', 'venture', 'capital', 'fund', 'exempt', 'reporting', 'adviser']	['NN', 'IN', 'JJ', 'NN', 'NN', 'CC', 'NN', 'NN', 'NN', 'JJ', 'VBG', 'NN']	['CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI', 'CC', 'CC', 'CC']
1	difference between controller and comptroller	controller; comptroller		difference		1.0	m	difference between controller and comptroller	['difference', 'between', 'controller', 'and', 'comptroller']	['NN', 'IN', 'NN', 'CC', 'NN']	['CP', 0, 'CI', 0, 'CI']
1	difference between a premonition and a dream	a premonition; a dream		difference		1.0	m	difference between a premonition and a dream	['difference', 'between', 'a', 'premonition', 'and', 'a', 'dream']	['NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN']	['CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	difference between corrosion and erosion	corrosion; erosion		difference		1.0	m	difference between corrosion and erosion	['difference', 'between', 'corrosion', 'and', 'erosion']	['NN', 'IN', 'NN', 'CC', 'NN']	['CP', 0, 'CI', 0, 'CI']
1	difference between a design exception and a design variance fdot	a design exception; a design variance fdot		difference		1.0	m	difference between a design exception and a design variance fdot	['difference', 'between', 'a', 'design', 'exception', 'and', 'a', 'design', 'variance', 'fdot']	['NN', 'IN', 'DT', 'NN', 'NN', 'CC', 'DT', 'NN', 'NN', 'NN']	['CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI', 'CI']
1	difference between nuclide and isotope	nuclide; isotope		difference		1.0	m	difference between nuclide and isotope	['difference', 'between', 'nuclide', 'and', 'isotope']	['NN', 'IN', 'NN', 'CC', 'VB']	['CP', 0, 'CI', 0, 'CI']
1	difference between blood clot and muscle pain	blood clot; muscle pain		difference		1.0	m	difference between blood clot and muscle pain	['difference', 'between', 'blood', 'clot', 'and', 'muscle', 'pain']	['NN', 'IN', 'NN', 'NN', 'CC', 'NN', 'NN']	['CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	difference between electron arrangement and molecular geometry	electron arrangement; molecular geometry		difference		1.0	m	difference between electron arrangement and molecular geometry	['difference', 'between', 'electron', 'arrangement', 'and', 'molecular', 'geometry']	['NN', 'IN', 'NN', 'NN', 'CC', 'JJ', 'NN']	['CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	multicellular and unicellular cells difference	multicellular; unicellular cells		difference		1.0	m	multicellular and unicellular cells difference	['multicellular', 'and', 'unicellular', 'cells', 'difference']	['JJ', 'CC', 'JJ', 'NNS', 'NN']	['CI', 0, 'CI', 'CI', 'CP']
1	what is difference between interval and ratio scales	interval; ratio scales		difference		0.0	m	what is difference between interval and ratio scales	['what', 'is', 'difference', 'between', 'interval', 'and', 'ratio', 'scales']	['WP', 'VBZ', 'NN', 'IN', 'NN', 'CC', 'NN', 'NNS']	[0, 0, 'CP', 0, 'CI', 0, 'CI', 'CI']
1	difference between standard and first class mail	standard; first class mail		difference		1.0	m	difference between standard and _NAMED_ENTITY_ class mail	['difference', 'between', 'standard', 'and', 'first', 'class', 'mail']	['NN', 'IN', 'JJ', 'CC', 'JJ', 'NN', 'NN']	['CP', 0, 'CI', 0, 'CI', 'CI', 'CI']
1	difference between grams and grams force	grams; grams force		difference		1.0	m	difference between grams and grams force	['difference', 'between', 'grams', 'and', 'grams', 'force']	['NN', 'IN', 'NNS', 'CC', 'NNS', 'NN']	['CP', 0, 'CI', 0, 'CI', 'CI']
1	difference between a conceptual erd and a logical erd	a conceptual erd; a logical erd		difference		1.0	m	difference between a conceptual erd and a logical erd	['difference', 'between', 'a', 'conceptual', 'erd', 'and', 'a', 'logical', 'erd']	['NN', 'IN', 'DT', 'JJ', 'NN', 'CC', 'DT', 'JJ', 'NN']	['CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI']
1	difference between ng-app and data-ng-app directives in angular js	ng-app; data-ng-app directives		difference	in angular js	1.0	m	difference between ng-app and data-ng-app directives in angular js	['difference', 'between', 'ng', '-', 'app', 'and', 'data', '-', 'ng', '-', 'app', 'directives', 'in', 'angular', 'js']	['NN', 'IN', 'JJ', 'JJ', 'NN', 'CC', 'NNS', 'HYPH', 'IN', 'HYPH', 'NN', 'NNS', 'IN', 'JJ', 'NN']	['CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC']
1	difference between sweater and sweatshirt	sweater; sweatshirt		difference		1.0	m	difference between sweater and sweatshirt	['difference', 'between', 'sweater', 'and', 'sweatshirt']	['NN', 'IN', 'NN', 'CC', 'NN']	['CP', 0, 'CI', 0, 'CI']
1	difference between a semicolon and a comma	a semicolon; a comma		difference		1.0	m	difference between a semicolon and a comma	['difference', 'between', 'a', 'semicolon', 'and', 'a', 'comma']	['NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN']	['CP', 0, 'CI', 'CI', 0, 'CI', 'CI']
1	difference between proc means and summary	proc means; summary		difference		1.0	m	difference between proc means and summary	['difference', 'between', 'proc', 'means', 'and', 'summary']	['NN', 'IN', 'NN', 'NNS', 'CC', 'NN']	['CP', 0, 'CI', 'CI', 0, 'CI']
1	difference between corporation and incorporated	corporation; incorporated		difference		1.0	m	difference between corporation and incorporated	['difference', 'between', 'corporation', 'and', 'incorporated']	['NN', 'IN', 'NN', 'CC', 'VBN']	['CP', 0, 'CI', 0, 'CI']
1	what is difference between physician's assistant and medical doctor	physician's assistant; medical doctor		difference		0.0	m	what is difference between physician's assistant and medical doctor	"['what', 'is', 'difference', 'between', 'physician', ""'s"", 'assistant', 'and', 'medical', 'doctor']"	['WP', 'VBZ', 'NN', 'IN', 'NN', 'POS', 'JJ', 'CC', 'JJ', 'NN']	[0, 0, 'CP', 0, 'CI', 'CI', 'CI', 0, 'CI', 'CI']
1	difference between bonus and commission	bonus; commission		difference		1.0	m	difference between bonus and commission	['difference', 'between', 'bonus', 'and', 'commission']	['NN', 'IN', 'NN', 'CC', 'NN']	['CP', 0, 'CI', 0, 'CI']
1	what is difference between a warranty and guarantee	a warranty; guarantee		difference		0.0	m	what is difference between a warranty and guarantee	['what', 'is', 'difference', 'between', 'a', 'warranty', 'and', 'guarantee']	['WP', 'VBZ', 'NN', 'IN', 'DT', 'NN', 'CC', 'VB']	[0, 0, 'CP', 0, 'CI', 'CI', 0, 'CI']
1	difference between period and pregnancy cramps	period; pregnancy cramps		difference		1.0	m	difference between period and pregnancy cramps	['difference', 'between', 'period', 'and', 'pregnancy', 'cramps']	['NN', 'IN', 'NN', 'CC', 'NN', 'NNS']	['CP', 0, 'CI', 0, 'CI', 'CI']
